Article,Code_EAN_Article,,Epaisseur,Largeur,Longueur,Nb_piece_paquet,Choix,Essence,Qualite,Article Famille,Libelle_Court,Dimension
S0PSY00BASTACAC,9451452763000,,"45,000","145,000","3000,0000",1,BAS,PSY,TAV,10TERRASSE,BASTAING,45/145
S0PSY00BASTACAC,9451452763600,,"45,000","145,000","3600,0000",1,BAS,PSY,TAV,10TERRASSE,BASTAING,45/145
S0PSY00BASTACAC,9451452764200,,"45,000","145,000","4200,0000",1,BAS,PSY,TAV,10TERRASSE,BASTAING,45/145
S0PSY00MADTACAC,9702202764200,,"70,000","220,000","4200,0000",1,COU,PSY,TAV,10TERRASSE,MADRIER,70/220
S0PSY00MADTACAC,9702202764800,,"70,000","220,000","4800,0000",1,COU,PSY,TAV,10TERRASSE,MADRIER,70/220
S0PSY00MADTACAC,9702202765100,,"70,000","220,000","5100,0000",1,COU,PSY,TAV,10TERRASSE,MADRIER,70/220
S0PSY00MADTACAC,9702202763600,,"70,000","220,000","3600,0000",1,COU,PSY,TAV,10TERRASSE,MADRIER,70/220
S0PSY00MADTACAC,9702202763000,,"70,000","220,000","3000,0000",1,COU,PSY,TAV,10TERRASSE,MADRIER,70/220
S0PSY00POTTACAC,9140140276300,,"140,000","140,000","3000,0000",1,POT,PSY,TAV,10TERRASSE,POTEAU,140/140
S0PSY00POTTACAC,9140140276420,,"140,000","140,000","4200,0000",1,POT,PSY,TAV,10TERRASSE,POTEAU,140/140
TA00000CFI000LO,280500,,"0,000","0,000","0,0000",500,,BCO,,10TERRASSE,CLIPS 500,
TA00000CFI000LO,280200,,"0,000","0,000","0,0000",200,,BCO,,10TERRASSE,CLIPS 200,
TA00000CPI000LO,281200,,"0,000","0,000","0,0000",200,,BCO,,10TERRASSE,CLIP 200,0/0
TA00000FGE000SP,00011334,,"0,000","1,000","25,0000",25,,,,10TERRASSE,GEOTEXT25,
TA00000KFI000BS,0000000000636,,"0,000","0,000","0,0000",1,,BCO,,10TERRASSE,,0/0
TA00000PLO000LO,00011909,,"0,000","0,000","0,0000",25,,,,10TERRASSE,60/90 25,60/90
TA00000PLO000LO,00011911,,"0,000","0,000","0,0000",25,,,,10TERRASSE,90/150 25,90/150
TA00000PLO000LO,00011913,,"0,000","0,000","0,0000",25,,,,10TERRASSE,150/260 25,15/260
TA00000PLO000LO,00011907,,"0,000","0,000","0,0000",25,,,,10TERRASSE,40/60  25,40/60
TA00000VIA000AF,282200,,"0,000","0,000","0,0000",200,,,,10TERRASSE,VIS 4/35,0/0
TA00000VIS000AF,5550283,,"0,000","0,000","0,0000",150,,,,10TERRASSE,5.5/50,5.5/50
TABCO00CDF000SV,3760102970171,,"0,000","0,000","0,0000",10,,BCO,,10TERRASSE,CLIP DF,
TABCO00CLA000SV,3760102970157,,"0,000","0,000","0,0000",10,,BCO,,10TERRASSE,CLIP AB,
